,national,hor_name,hor_num,sex,age,debut,total_first,total_second,total_game,win_rate,total_game_1yr,total_earn,total_earn_1yr
3,한국,골든게이트,036030,거,5,20160910,5,5,20,25,3,293100000,0
4,한국,드림머니,039098,거,3,20180826,1,0,8,12.5,8,15280000,15280000
5,한국,원더풀마린,039359,수,3,20181208,0,2,8,0,8,15040000,15040000
6,한국,큐티바비,039232,암,3,20181007,0,0,6,0,6,4320000,4320000
7,한국,트리플마운틴,037608,수,4,20190609,0,0,1,0,1,1200000,1200000
8,한국,빛나는루비,037816,암,4,20171224,0,1,22,0,15,18720000,17120000
9,한국,패스티스트,037571,암,4,20180311,0,0,7,0,5,0,0
0,한국,터프그레이트,038683,암,3,20190511,0,0,2,0,2,0,0
1,한국,윈드리버,038638,암,3,20181110,1,0,5,20,5,33960000,33960000
2,한국,안양재규어,038735,암,3,20190324,0,0,4,0,4,3600000,3600000
3,한국,해랑,039025,암,3,20180812,0,1,7,0,7,15200000,15200000
4,한국,안목항,038782,암,3,20190303,0,1,2,0,2,10400000,10400000
5,한국,정성스타,040705,암,2,20190609,0,0,1,0,1,0,0
6,한국,신의축복,039024,암,3,20180825,0,0,8,0,8,1920000,1920000
7,한국,스틸런,037229,암,4,20170924,0,1,17,0,11,20160000,16160000
8,한국,킹스캐리지,039692,수,3,20190217,0,0,3,0,3,10400000,10400000
9,한국,유롱플라잉,039612,거,3,20190127,0,0,5,0,5,8800000,8800000
0,한국,디아볼라,039097,암,3,20190511,0,0,2,0,2,3200000,3200000
1,한국,비엔토퍼스트,038919,암,3,20181117,0,0,6,0,6,1600000,1600000
2,한국,로열리멤버,038537,수,3,20190119,0,0,2,0,2,0,0
3,한국,풀문스카이,038997,수,3,20181020,2,2,8,25,8,69600000,69600000
4,한국,달순이,036997,암,4,20171202,1,1,15,6.7,8,29120000,27120000
5,한국,천년해피,039199,암,3,20180811,0,2,10,0,10,26560000,26560000
6,한국,최강파티,038781,수,3,20180902,1,0,5,20,5,20000000,20000000
7,한국,빅토리스타,037941,암,4,20170923,1,2,19,5.3,10,74400000,11800000
8,한국,메이슨,039443,거,3,20190113,0,2,5,0,5,20240000,20240000
9,한국,바람을그리다,039523,수,3,20180908,2,2,8,25,8,77800000,77800000
0,한국,인디펜던스,038932,수,3,20181202,1,1,6,16.7,6,23920000,23920000
1,한국,백두의태양,037581,거,4,20171029,0,2,17,0,10,29240000,7600000
2,한국,송암바비,037483,암,4,20180826,1,1,10,10,10,36560000,36560000
3,한국,셋더페이스,038823,암,3,20190126,1,0,4,25,4,24800000,24800000
4,한국,늘푸른캣,037423,수,4,20190217,1,0,4,25,4,15280000,15280000
5,한국,새내빅토리,039614,암,3,20181006,0,1,7,0,7,14960000,14960000
6,한국,개나리송,038544,수,3,20181208,4,1,6,66.7,6,138000000,138000000
7,한국,브라운로즈,037741,암,4,20180210,1,4,11,9.1,7,64440000,51000000
8,한국,혜성여왕,035442,암,5,20160731,2,3,25,8,8,135700000,6000000
9,한국,백두의정상,037583,거,4,20171105,2,1,20,10,11,72880000,38000000
0,한국,점보캡틴,037166,수,4,20171203,4,3,18,22.2,11,155630000,133550000
1,한국,특별스타,036113,암,5,20160827,2,4,33,6.1,11,176250000,62250000
2,한국,예스유캔,034943,거,5,20161217,3,3,25,12,8,178675000,42375000
3,한국,햇살왕자,036157,거,5,20161105,3,3,24,12.5,9,148120000,95100000
4,미국,신기파랑,034662,수,7,20141025,3,4,40,7.5,10,200100000,3600000
5,한국,이천쌀,037099,거,4,20170722,3,4,18,16.7,7,237500000,61800000
6,한국,독도지기,037853,수,4,20171014,8,1,11,72.7,7,374400000,290500000
7,미국,플레이시스투고,038090,거,5,20160827,7,0,29,24.1,8,465950000,29700000
8,미국,삼정타핏,038022,거,5,20161112,4,1,20,20,7,239350000,71800000
9,미국,오피세븐,038326,수,4,20170730,6,2,16,37.5,6,442950000,154000000
